"ID","FACILITY_NAME","STREET_ADDRESS","CITY_NAME","COUNTY_NAME","STATE_COUNTY_FIPS_CODE","STATE_ABBR","ZIP_CODE","REGION","FAC_CLOSED_IND","MAIL_NAME","MAIL_STREET_ADDRESS","MAIL_CITY","MAIL_STATE_ABBR","MAIL_PROVINCE","MAIL_COUNTRY","MAIL_ZIP_CODE","ASGN_FEDERAL_IND","ASGN_AGENCY","FRS_ID","PARENT_CO_DB_NUM","PARENT_CO_NAME","FAC_LATITUDE","FAC_LONGITUDE","PREF_LATITUDE","PREF_LONGITUDE","PREF_ACCURACY","PREF_COLLECT_METH","PREF_DESC_CATEGORY","PREF_HORIZONTAL_DATUM","PREF_SOURCE_SCALE","PREF_QA_CODE","ASGN_PARTIAL_IND","ASGN_PUBLIC_CONTACT","ASGN_PUBLIC_PHONE","ASGN_PUBLIC_CONTACT_EMAIL","BIA_CODE","STANDARDIZED_PARENT_COMPANY","ASGN_PUBLIC_PHONE_EXT","EPA_REGISTRY_ID"
"15122SGKYW890NO","KEYWELL CORP VAC AIR ALLOYS DIV","890 NOBLE DR","WEST MIFFLIN","ALLEGHENY",42003,"PA",15122,3,0,"KEYWELL CORP VAC AIR ALLOYS DIV","890 NOBLE DR","WEST MIFFLIN","PA",NA,NA,"15122","C",NA,NA,"382653724","SG KEYWELL CO",402136,795525,40.36,79.923611,150,"UN","UN","1","U","1010",0,"J. C. NUTTER",8144534716,NA,NA,NA,NA,NA
"15205LLMRC4590C","ALL AMERICAN GOURMET CO","4590 CAMPBELLS RUN RD","PITTSBURGH","ALLEGHENY",42003,"PA",15205,3,0,"ALL AMERICAN GOURMET CO","4590 CAMPBELLS RUN RD","PITTSBURGH","PA",NA,NA,"15205","C",NA,NA,"144628310","PHILIP MORRIS COS INC",402414,800558,40.425539,80.118831,150,"A1","PG","1","J","1000",0,"MAGNESS WELSH",3129982796,NA,NA,NA,NA,NA
"15065HCKTTFEDER","HARSCO METALS - NATRONA","FEDERAL ST GATE 10 C/O ALLEGHENY LUDLUM STEEL","NATRONA HEIGHTS","ALLEGHENY",42003,"PA",15065,3,0,"HARSCO METALS - NATRONA","300 SEVEN FIELDS BLVD","SEVEN FIELDS","PA",NA,NA,"16046","C",NA,NA,"003952009","HARSCO CORP",403700,794300,40.616667,79.716667,11000,"UN","UN","1","U","1000",0,"GLENN D HUNDERTMARK",7247416662,"GHUNDERTMARK@HARSCO.COM",NA,"HARSCO CORP",NA,110000329136
"15024CHSWCPITTS","CHESWICK POWER PLANT","PITTSBURGH & PORTER ST","SPRINGDALE","ALLEGHENY",42003,"PA",15144,3,0,"CHESWICK POWER PLANT","PO BOX 65","CHESWICK","PA",NA,NA,"15024","C",NA,NA,NA,"GENON HOLDINGS INC.",403212,794739,NA,NA,NA,NA,NA,NA,NA,NA,0,"BILL MCGRAW",7242751595,"WILLIAM.MCGRAW@GENON.COM",NA,"GENON HOLDINGS INC",NA,110056969641
"15025GRDNN1000G","GUARDIAN INDUSTRIES CORP - FLOREFFE PLANT","1000 GLASSHOUSE RD","JEFFERSON HILLS","ALLEGHENY",42003,"PA",15025,3,1,"GUARDIAN INDUSTRIES CORP - FLOREFFE PLANT","1000 GLASSHOUSE RD","JEFFERSON HILLS","PA",NA,NA,"15025","C",NA,NA,"054671169","GUARDIAN INDUSTRIES CORP",401515,795459,NA,NA,NA,NA,NA,NA,NA,NA,0,"JAMES RILEY",2483402183,"JRILEY@GUARDIAN.COM",NA,"GUARDIAN INDUSTRIES CORP",NA,110000328814
"15203SMLBN88SOU","BINGHAM CO","88 S 13TH ST","PITTSBURGH","ALLEGHENY",42003,"PA",15203,3,0,"BINGHAM CO.","RTE. 119N, P.O. BOX 436","BLACK LICK","PA",NA,NA,"15716","C",NA,NA,"005163696","BINGHAM CO",402612,8e+05,40.436667,80,150,"UN","UN","1","U","1010",0,"ROBERT ANTONOVICH",4122481210,NA,NA,NA,NA,NA
"15238WSTNG200BE","EMERSON PROCESS MANAGEMENT POWER & WATER SOLUTIONS INC","200 BETA DRIVE","PITTSBURGH","ALLEGHENY",42003,"PA",15238,3,0,"EMERSON PROCESS MANAGEMENT POWER & WATER SOLUTIONS INC","200 BETA DRIVE","PITTSBURGH","PA",NA,NA,"15238","C",NA,NA,"006269633","EMERSON ELECTRIC CO",402956,795143,40.503056,79.863889,150,"UN","UN","1","U","1010",0,"TIMOTHY MILLER",4129634000,NA,NA,NA,NA,NA
"15120WSTHMWESTS","WHEMCO-STEEL CASTINGS INC","601 W SEVENTH AVE","HOMESTEAD","ALLEGHENY",42003,"PA",15120,3,0,"WHEMCO-STEEL CASTINGS INC","601 W SEVENTH AVE","HOMESTEAD","PA",NA,NA,"15120","C",NA,NA,"142366165","WHEMCO INC",402405,795530,NA,NA,NA,NA,NA,NA,NA,NA,0,"HOWARD ZEIGLER",4124761544,"HZEIGLER@WHEMCO.COM",NA,"WHEMCO INC",NA,110007780767
"15212HNZSX1062P","BAY VALLEY FOODS LLC","1080 RIVER AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15212,3,0,"BAY VALLEY FOODS LLC","1080 RIVER AVE","PITTSBURGH","PA",NA,NA,"15212","C",NA,NA,"159881619","TREE HOUSE FOODS INC",402714,795930,40.454722,79.991944,600,"UN","UN","1","U","1010",0,"SAME",4124426920,NA,NA,"TREE HOUSE FOODS INC",NA,NA
"15024LLGHN1105P","ALLEGHENY LABEL INC","1105 PITTSBURGH ST","CHESWICK","ALLEGHENY",42003,"PA",15024,3,0,"ALLEGHENY LABEL INC","PO BOX 95","CHESWICK","PA",NA,NA,"15024","C",NA,NA,NA,NA,402900,801400,40.5715,79.8574,11000,"Z1","UN","1","U","0000",0,"SUSAN C TONKS",4122747000,NA,NA,NA,NA,NA
"15202HKNCN2150R","BALL METAL FOOD CONTAINER CORP","2150 ROSWELL DR","PITTSBURGH","ALLEGHENY",42003,"PA",15205,3,0,"BALL METAL FOOD CONTAINER CORP.","P.O. BOX 589","BROOMFIELD","CO",NA,NA,"80038-0589","C",NA,NA,"006419147","BALL CORP",402634,800453,40.442778,80.081389,150,"UN","UN","1","U","1010",0,"SCOTT MCCARTY",7657476175,NA,NA,NA,NA,NA
"15031SNXXP710MI","SENEX EXPLOSIVES INC","710 MILLERS RUN RD","CUDDY","ALLEGHENY",42003,"PA",15031,3,0,"SENEX EXPLOSIVES INC","710 MILLERS RUN RD","CUDDY","PA",NA,NA,"15031","C",NA,NA,NA,NA,402054,801040,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"15225XXNNV2760N","EXXONMOBIL CORP NEVILLE ISLAND TERMINAL","2760 NEVILLE RD","PITTSBURGH","ALLEGHENY",42003,"PA",15225,3,0,"EXXONMOBIL CORP NEVILLE ISLAND TERMINAL","2760 NEVILLE RD","PITTSBURGH","PA",NA,NA,"15225","C",NA,NA,"001213214","EXXONMOBIL CORP",403007,800547,NA,NA,NA,NA,NA,NA,NA,NA,0,"ROBERT FROST",4127783578,NA,NA,NA,NA,NA
"15145LRLMN1210A","LAUREL MOUNTAIN WHIRLPOOLS IN C","1210 AIRBRAKE AVE","TURTLE CREEK","ALLEGHENY",42003,"PA",15145,3,0,"LAUREL MOUNTAIN WHIRLPOOLS IN C","1210 AIRBRAKE AVE","TURTLE CREEK","PA",NA,NA,"15145","C",NA,NA,NA,NA,402430,794856,40.408333,79.815556,99999,"UN","UN","U","U","0000",0,"DAVID BAKER",4128292540,"DBAKER@LAURELMOUNTAINWHIRLPOOLS.COM",NA,NA,NA,110000329412
"15020SNCCHBUNOL","UNIVAR SOLUTIONS USA INC - BUNOLA BRANCH","328 BUNOLA RIVER RD","BUNOLA","ALLEGHENY",42003,"PA",15020,3,0,"UNIVAR SOLUTIONS USA INC - BUNOLA BRANCH","328 BUNOLA RIVER RD","BUNOLA","PA",NA,NA,"15020","C",NA,NA,NA,"UNIVAR SOLUTIONS USA INC",401410,795740,NA,NA,NA,NA,NA,NA,NA,NA,0,"GEORGE SHAWL",4123852929,"GEORGE.SHAWL@UNIVARSOLUTIONS.COM",NA,NA,NA,110000603357
"15201MBDTC5637B","EM-BED-IT & CO. INC.","5637 BUTLER ST","PITTSBURGH","ALLEGHENY",42003,"PA",15201,3,0,"EM-BED-IT & CO. INC.","5637 BUTLER ST","PITTSBURGH","PA",NA,NA,"15201","C",NA,NA,NA,NA,402906,795649,NA,NA,NA,NA,NA,NA,NA,NA,0,"STEPHEN J. SOBINA",4127818585,"SJS@EMBEDITINC.COM",NA,NA,NA,110000329449
"15108CHMCN3000C","UNIVAR USA INC CORAOPOLIS BRANCH","3000 CASTEEL RD","CORAOPOLIS","ALLEGHENY",42003,"PA",15108,3,0,"UNIVAR USA INC","328 BUNOLA RIVER RD","BUNOLA","PA",NA,NA,"15020","C",NA,NA,"102971785","UNIVAR USA INC",402718,801034,NA,NA,NA,NA,NA,NA,NA,NA,0,"STEVEN BERG",4123845353,"STEVEN.BERG@UNIVARUSA.COM",NA,NA,NA,110000329270
"15024RDLND375RI","REDLAND BRICK INC HARMAR PLANT","375 RICH HILL RD","CHESWICK","ALLEGHENY",42003,"PA",150242317,3,1,NA,"375 RICH HILL RD.","CHESWICK","PA",NA,"UNITED STATES","15024-2317","C",NA,NA,"004468690","BELDEN BRICK CO",403330,795030,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"15146PPGND440CO","PPG INDUSTRIES INC","440 COLLEGE PARK DR","MONROEVILLE","ALLEGHENY",42003,"PA",15146,3,0,"PPG INDUSTRIES INC","440 COLLEGE PARK DR","MONROEVILLE","PA",NA,NA,"15146","C",NA,NA,"001344803","PPG INDUSTRIES INC",402640,794305,NA,NA,NA,NA,NA,NA,NA,NA,0,"MELISSA GERHART",7243255283,"GERHART@PPG.COM",NA,"PPG INDUSTRIES INC",NA,110000329421
"15104PCMTL11TAL","EPIC METALS CORP","11 TALBOT AVE","RANKIN","ALLEGHENY",42003,"PA",15104,3,0,"EPIC METALS CORP","11 TALBOT AVE","RANKIN","PA",NA,NA,"15104","C",NA,NA,NA,NA,402424,795233,NA,NA,NA,NA,NA,NA,NA,NA,0,"MICHAEL SMITHULA",4123513913,"MSMITHULA@EPICMETALS.COM",NA,NA,NA,110001214365
"15120DMSCS1001E","BRISTOL METALS LLC - MUNHALL PLANT","1001 E WATERFRONT DR","MUNHALL","ALLEGHENY",42003,"PA",15120,3,0,"BRISTOL METALS LLC - MUNHALL PLANT","1001 E WATERFRONT DR","MUNHALL","PA",NA,NA,"15120","C",NA,NA,"428994578","SYNALLOY CORP",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"JIM HAVRILLA",4124623164,"JHAVRILLA@BRISMET.COM",NA,"SYNALLOY CORP",NA,110002095152
"15034BSWLL702WA","KINDER MORGAN LIQUIDS TERMINALS LLC","702 WASHINGTON AVE","DRAVOSBURG","ALLEGHENY",42003,"PA",15034,3,0,"KINDER MORGAN LIQUIDS TERMINALS L.L.C.","P.O. BOX 253","DRAVOSBURG","PA",NA,NA,"15034","C",NA,NA,NA,NA,402115,795250,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"15225WTSNSCORNE","WATSON STANDARD CO (NEVILLE ISLAND PLANT)","2895 GRAND AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15225,3,0,"WATSON STANDARD CO (NEVILLE ISLAND PLANT)","616 HITE ROAD","HARWICK","PA",NA,NA,"15049","C",NA,NA,"004397030","WATSON INDUSTRIES INC",403013,800607,40.503889,80.102222,11000,"UN","UN","1","U","1000",0,"WATSON STANDARD",7242751000,"RHUSKULIAK@WATSONSTANDARD.COM",NA,"WATSON INDUSTRIES INC",NA,110000329671
"15206NBSCB6425P","NABISCO BISCUIT CO","6425 PENN AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15206,3,0,"NABISCO INC.","200 DEFOREST AVE. ATTN. ENV. AFFAIRS & SAFETY","EAST HANOVER","NJ",NA,NA,"07936-1944","C",NA,NA,"101241107","NABISCO INC",402725,795458,40.456944,79.916111,150,"UN","UN","1","U","1010",0,"HENRY SANDBACH",2016827098,NA,NA,NA,NA,NA
"15219MTLTC2400S","STEEL DYNAMICS INC - TECHS DIV - METALTECH PLANT","2400 2ND AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15219,3,0,"STEEL DYNAMICS INC - TECHS DIV - METALTECH PLANT","2400 2ND AVE","PITTSBURGH","PA",NA,NA,"15219","C",NA,NA,"808202725","STEEL DYNAMICS INC",402606,795812,NA,NA,NA,NA,NA,NA,NA,NA,0,"DARIN BALL",4123684800,"DARIN.BALL@STEELDYNAMICS.COM",NA,"STEEL DYNAMICS INC",4868,110041625462
"15024WSTNGLOWGR","WESTINGHOUSE ELECTRIC CORP","LOW GRADE RD AT LEMON LN","CHESWICK","ALLEGHENY",42003,"PA",150241300,3,0,"WESTINGHOUSE ELECTRIC CORP.","1000 CHESWICK AVE.","CHESWICK","PA",NA,NA,"15024-1300","C",NA,NA,"001343953","WESTINGHOUSE ELECTRIC CORP",403300,754845,40.55088,79.808384,150,"A1","PG","1","J","1000",0,"ROSEMARY PETA",4129635019,NA,NA,NA,NA,NA
